# call_index  iSCC  SCC_error(a.u.)
     823    12  5.382735900000e-06
     824    12  6.727274100000e-06
     825    12  8.595555000000e-06
     826    13  4.581367900000e-06
     827    13  4.604819500000e-06
     828    13  2.825324100000e-06
     829    12  9.614353100000e-06
     830    13  3.022379200000e-06
     831    12  8.767960400000e-06
     832    12  7.258432300000e-06
     833    12  6.169974400000e-06
     834    12  8.477159900000e-06
     835    12  9.252625900000e-06
     836    12  8.600989600000e-06
     837    12  7.823921100000e-06
     838    12  6.691637200000e-06
     839    12  5.189822800000e-06
     840    12  5.595117800000e-06
     841    12  5.095099900000e-06
     842    12  5.717584900000e-06
     843    12  4.658471500000e-06
     844    12  5.128970900000e-06
     845    12  7.171529000000e-06
     846    12  8.962470900000e-06
     847    13  5.274747800000e-06
     848    13  5.031483300000e-06
     849    13  4.256832200000e-06
     850    13  3.185083900000e-06
     851    13  3.125194200000e-06
     852    12  8.407402400000e-06
     853    12  6.229482100000e-06
     854    12  5.022554200000e-06
     855    12  6.481430900000e-06
     856    12  7.388901000000e-06
     857    12  6.767205400000e-06
     858    12  6.418875700000e-06
     859    12  5.760767000000e-06
     860    11  9.252682700000e-06
     861    12  6.112109200000e-06
     862    12  5.754486300000e-06
     863    12  6.375124400000e-06
     864    12  4.729439300000e-06
     865    12  4.413089100000e-06
     866    12  5.583577900000e-06
     867    12  7.328777400000e-06
     868    13  3.390222200000e-06
     869    13  3.702399100000e-06
     870    12  5.454801000000e-06
     871    12  5.658540500000e-06
     872    12  6.975302200000e-06
     873    13  3.906531300000e-06
     874    13  3.628074800000e-06
     875    12  8.948790900000e-06
     876    12  7.725953500000e-06
     877    12  6.902824100000e-06
     878    12  5.815824300000e-06
     879    12  5.708923000000e-06
     880    12  5.569131800000e-06
     881    12  4.805801700000e-06
     882    12  4.498416000000e-06
     883    12  6.445977400000e-06
     884    12  5.024499300000e-06
     885    12  4.553259100000e-06
     886    12  3.757682300000e-06
     887    12  4.927411300000e-06
     888    12  7.154499300000e-06
     889    12  9.693155600000e-06
     890    13  3.935397400000e-06
     891    13  3.747757800000e-06
     892    13  2.629553800000e-06
     893    13  2.827808100000e-06
     894    12  9.872238700000e-06
     895    13  3.607518800000e-06
     896    13  2.248214900000e-06
     897    12  7.415110400000e-06
     898    12  6.495013500000e-06
     899    12  6.486054300000e-06
     900    12  8.134916900000e-06
     901    12  7.861026000000e-06
     902    12  6.358088300000e-06
     903    12  5.415407300000e-06
     904    12  6.862616200000e-06
     905    12  8.337481400000e-06
     906    12  7.420595000000e-06
     907    12  5.702614100000e-06
     908    12  7.860282100000e-06
     909    12  9.793250200000e-06
     910    13  3.182125700000e-06
     911    13  3.285352300000e-06
     912    12  7.479403100000e-06
