# CDFTB-CI Spectral Densities
# nu(cm-1)      SD_J(cm-1)      SD_dE1(cm-1)    SD_dE2(cm-1)
   1855.7836        0.722757        9.127596        9.086982
   1859.7896        0.296079        9.404614       11.845979
   1863.7956        0.524111       11.008644       10.546890
   1867.8016        0.728237        9.290141       10.357787
   1871.8076        0.568864        7.460699        8.299479
   1875.8136        0.361005        8.281271        6.754499
   1879.8196        0.512718        8.220949        9.360241
   1883.8257        0.453046        8.645912       10.460615
   1887.8317        0.407815        9.414386       12.400371
   1891.8377        0.361038       15.544749       13.059463
   1895.8437        0.695108       13.137938       12.099955
   1899.8497        0.465822       15.813796        9.734880
   1903.8557        0.668342       13.609426       10.861799
   1907.8617        0.224726       11.009235        9.330912
   1911.8677        0.210591       10.155216        8.564967
   1915.8737        0.545170       10.193037       10.180422
   1919.8798        0.310549       11.174212       11.201721
   1923.8858        0.473108        9.397522        8.175869
   1927.8918        0.367040        6.937333        6.066966
   1931.8978        0.382911        6.875369        6.227766
   1935.9038        0.361244        5.745915        6.439310
   1939.9098        0.291287        6.298076        6.403655
   1943.9158        0.353004        5.213706        7.952727
   1947.9218        0.389852        3.974752        7.468154
   1951.9279        0.470191        3.542617        3.035283
   1955.9339        0.361189        3.181776        3.897636
   1959.9399        0.172151        4.857455        5.074365
   1963.9459        0.261498        3.901981        5.571466
   1967.9519        0.281407        4.200539        4.929006
   1971.9579        0.144938        3.975794        4.680302
   1975.9639        0.233868        3.316040        5.677664
   1979.9699        0.065812        4.481358        5.011203
   1983.9760        0.259304        4.066058        4.533722
   1987.9820        0.274416        5.288121        4.308746
   1991.9880        0.223944        3.582734        5.119631
   1995.9940        0.182326        4.009779        4.486158
   2000.0000        0.448509        4.430510        3.272241
