# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
  323   1292.00      -41.4619    -85.4757700686    -85.4668620576    0.242399
  324   1296.00      -43.2776    -85.4644096804    -85.4579252358    0.176451
  325   1300.00       43.2856    -85.4797593188    -85.4723766719    0.200892
  326   1304.00      -42.2335    -85.4820441758    -85.4712322006    0.294209
  327   1308.00       44.5648    -85.4761158272    -85.4645532352    0.314634
  328   1312.00      -41.0126    -85.4709131218    -85.4619873843    0.242882
  329   1316.00      -49.0104    -85.4706081054    -85.4638915154    0.182768
  330   1320.00      -50.7981    -85.4691661071    -85.4625068852    0.181207
  331   1324.00      -43.9017    -85.4674512406    -85.4575532427    0.269338
  332   1328.00       42.9434    -85.4843212356    -85.4728064064    0.313334
  333   1332.00       40.9057    -85.4856166760    -85.4760795410    0.259519
  334   1336.00      -46.6506    -85.4770375522    -85.4699956474    0.191620
  335   1340.00       54.5857    -85.4636136353    -85.4578943703    0.155629
  336   1344.00       53.0263    -85.4619930979    -85.4552650557    0.183079
  337   1348.00      -50.8850    -85.4821149304    -85.4737817283    0.226758
  338   1352.00      -54.7843    -85.4821053517    -85.4737003929    0.228711
  339   1356.00           nan               nan               nan         nan
  340   1360.00      -58.5738    -85.4764097440    -85.4676355129    0.238759
  341   1364.00       59.1211    -85.4767877368    -85.4658812244    0.296781
  342   1368.00       48.6200    -85.4707038910    -85.4571068700    0.369994
  343   1372.00       44.5414    -85.4701185350    -85.4562417513    0.377607
  344   1376.00      -43.5211    -85.4961834328    -85.4847423653    0.311327
  345   1380.00      -41.1293    -85.4774522031    -85.4671604879    0.280052
  346   1384.00      -37.5833    -85.4699027994    -85.4601117363    0.266428
  347   1388.00      -34.5376    -85.4628488662    -85.4530005526    0.267986
  348   1392.00       39.0687    -85.4660829093    -85.4573243156    0.238333
  349   1396.00       48.5673    -85.4875590623    -85.4805440991    0.190887
  350   1400.00      -54.7107    -85.4685208043    -85.4605071600    0.218062
  351   1404.00      -50.9086    -85.4626336937    -85.4523507912    0.279812
  352   1408.00      -42.3943    -85.4669830550    -85.4537209314    0.360881
  353   1412.00       43.6349    -85.4647004985    -85.4511435598    0.368903
  354   1416.00       47.8027    -85.4713870100    -85.4617475120    0.262304
  355   1420.00      -51.0930    -85.4642730946    -85.4576674453    0.179749
  356   1424.00       44.2416    -85.4752435694    -85.4682003021    0.191657
  357   1428.00       33.0900    -85.4737549708    -85.4634085773    0.281540
  358   1432.00       33.9165    -85.4711589857    -85.4580635473    0.356345
  359   1436.00      -40.9925    -85.4675583530    -85.4545948288    0.352755
  360   1440.00      -48.6816    -85.4629304108    -85.4513180064    0.315990
  361   1444.00       44.1601    -85.4683766980    -85.4575504997    0.294596
  362   1448.00       32.6209    -85.4680898719    -85.4572449717    0.295105
  363   1452.00       34.5808    -85.4661353556    -85.4553865938    0.292489
  364   1456.00      -38.7481    -85.4509748952    -85.4410776913    0.269317
  365   1460.00      -41.8507    -85.4587003850    -85.4502009841    0.231280
  366   1464.00      -44.6679    -85.4630045463    -85.4541396920    0.241225
  367   1468.00      -44.9816    -85.4494165764    -85.4391720383    0.278768
  368   1472.00      -43.1125    -85.4725811197    -85.4621076090    0.284999
  369   1476.00      -37.9741    -85.4605647104    -85.4514299024    0.248571
  370   1480.00       37.3998    -85.4583961425    -85.4512526581    0.194384
  371   1484.00      -38.1283    -85.4770772644    -85.4691308972    0.216232
  372   1488.00       34.4916    -85.4667887347    -85.4562845066    0.285835
  373   1492.00       35.6397    -85.4682676553    -85.4573886937    0.296032
  374   1496.00      -33.3849    -85.4517166760    -85.4426557428    0.246561
  375   1500.00      -37.7230    -85.4482494449    -85.4420277464    0.169301
  376   1504.00      -37.5909    -85.4595508275    -85.4539044725    0.153645
  377   1508.00      -31.7147    -85.4636762823    -85.4555243553    0.221825
  378   1512.00      -34.2879    -85.4776240713    -85.4668106419    0.294248
  379   1516.00       33.8003    -85.4685789427    -85.4581882366    0.282746
  380   1520.00           nan               nan               nan         nan
  381   1524.00       37.4545    -85.4699389920    -85.4652874049    0.126576
  382   1528.00      -37.5984    -85.4676903411    -85.4630029815    0.127550
  383   1532.00       30.8074    -85.4613230783    -85.4551555865    0.167826
  384   1536.00           nan               nan               nan         nan
  385   1540.00           nan               nan               nan         nan
  386   1544.00       37.4675    -85.4579717118    -85.4506203352    0.200041
  387   1548.00       38.5534    -85.4706487339    -85.4619029347    0.237985
  388   1552.00       41.8094    -85.4757074895    -85.4651623622    0.286948
  389   1556.00      -47.6878    -85.4841906171    -85.4739541171    0.278549
  390   1560.00      -47.9675    -85.4761769884    -85.4684969686    0.208984
  391   1564.00      -46.0887    -85.4583400638    -85.4530319302    0.144442
  392   1568.00      -44.0219    -85.4600742044    -85.4554285261    0.126415
  393   1572.00      -44.7916    -85.4582046654    -85.4520060539    0.168673
  394   1576.00       39.9514    -85.4731189145    -85.4647901447    0.226637
  395   1580.00      -42.6504    -85.4794681190    -85.4698322243    0.262206
  396   1584.00      -41.5853    -85.4663593740    -85.4575712467    0.239137
  397   1588.00      -46.4344    -85.4625015141    -85.4552635427    0.196955
  398   1592.00       43.1125    -85.4592695619    -85.4538575699    0.147268
  399   1596.00      -36.8529    -85.4636785850    -85.4592847098    0.119563
  400   1600.00      -30.5412    -85.4661019021    -85.4598080084    0.171266
  401   1604.00      -20.6698    -85.4812938855    -85.4719158621    0.255189
  402   1608.00       22.8367    -85.4834166736    -85.4724769086    0.297686
  403   1612.00      -24.0324    -85.4732195846    -85.4641261161    0.247446
  404   1616.00      -29.1919    -85.4793133018    -85.4728140476    0.176854
  405   1620.00       33.3931    -85.4775482220    -85.4711868262    0.173102
  406   1624.00       33.6671    -85.4778376330    -85.4702705894    0.205910
