# call_index  Electronic(H)         Repulsive(H)          Total(H)
      66        -86.5690441952          0.8684078920        -85.7006363032
      67        -86.5652727685          0.8593924042        -85.7058803642
      68        -86.5611364038          0.8606232816        -85.7005131222
      69        -86.5545802198          0.8638114350        -85.6907687847
      70        -86.5421822293          0.8510771776        -85.6911050517
      71        -86.5261338936          0.8236231280        -85.7025107656
      72        -86.5137500322          0.8023536163        -85.7113964159
      73        -86.5100585534          0.8003124998        -85.7097460535
      74        -86.5150247449          0.8134386011        -85.7015861438
      75        -86.5246257005          0.8270141605        -85.6976115400
      76        -86.5343828335          0.8309689727        -85.7034138608
      77        -86.5421397297          0.8286252096        -85.7135145201
      78        -86.5479577801          0.8322727979        -85.7156849822
      79        -86.5503495803          0.8436086508        -85.7067409294
      80        -86.5445939959          0.8461425966        -85.6984513993
      81        -86.5279475490          0.8246109630        -85.7033365860
      82        -86.5058482570          0.7921813624        -85.7136668947
      83        -86.4866108608          0.7703736586        -85.7162372022
      84        -86.4749355586          0.7665985822        -85.7083369764
      85        -86.4706350446          0.7716222240        -85.6990128205
      86        -86.4708581616          0.7720582368        -85.6987999248
      87        -86.4734148561          0.7649030805        -85.7085117756
      88        -86.4783855562          0.7608178982        -85.7175676580
      89        -86.4863753838          0.7720927820        -85.7142826019
      90        -86.4948985554          0.7937096299        -85.7011889255
      91        -86.4987019560          0.8039959221        -85.6947060339
      92        -86.4975438974          0.7961692834        -85.7013746141
      93        -86.4984416688          0.7898025381        -85.7086391308
      94        -86.5078270183          0.8015997866        -85.7062272317
      95        -86.5275901176          0.8317936574        -85.6957964602
      96        -86.5545971400          0.8659975485        -85.6885995915
      97        -86.5842252687          0.8915613693        -85.6926638994
      98        -86.6130857478          0.9088225084        -85.7042632394
      99        -86.6396032583          0.9288116767        -85.7107915816
     100        -86.6617187293          0.9577407549        -85.7039779745
     101        -86.6738117114          0.9816834160        -85.6921282953
     102        -86.6702089866          0.9784065305        -85.6918024561
