# call_index  Electronic(H)         Repulsive(H)          Total(H)
     346        -86.5823670909          0.8927925186        -85.6895745723
     347        -86.5939204735          0.9088524471        -85.6850680264
     348        -86.5999094547          0.9181049468        -85.6818045078
     349        -86.5948660209          0.9115355840        -85.6833304369
     350        -86.5789258080          0.8930904243        -85.6858353837
     351        -86.5557281664          0.8706847176        -85.6850434488
     352        -86.5301369821          0.8486914720        -85.6814455101
     353        -86.5072609582          0.8283078974        -85.6789530608
     354        -86.4906475283          0.8088521389        -85.6817953894
     355        -86.4825689802          0.7930729417        -85.6894960385
     356        -86.4833856091          0.7865326643        -85.6968529448
     357        -86.4901823096          0.7907730821        -85.6994092275
     358        -86.4968038632          0.7985276930        -85.6982761702
     359        -86.4959163824          0.7972098435        -85.6987065389
     360        -86.4835580909          0.7815631991        -85.7019948917
     361        -86.4613276900          0.7581457206        -85.7031819695
     362        -86.4336197327          0.7343234714        -85.6992962612
     363        -86.4063866925          0.7146524089        -85.6917342837
     364        -86.3856238512          0.7005853712        -85.6850384800
     365        -86.3756378161          0.6921356369        -85.6835021792
     366        -86.3790327784          0.6922628242        -85.6867699542
     367        -86.3957465160          0.7054070056        -85.6903395103
     368        -86.4221116684          0.7311671837        -85.6909444847
     369        -86.4512058712          0.7603973704        -85.6908085008
     370        -86.4753187418          0.7802431803        -85.6950755615
     371        -86.4906161606          0.7871939636        -85.7034221970
     372        -86.4983486180          0.7886901739        -85.7096584441
     373        -86.5018375804          0.7916624021        -85.7101751783
     374        -86.5050202844          0.7989081780        -85.7061121064
     375        -86.5108354115          0.8085092170        -85.7023261944
     376        -86.5208155924          0.8182688322        -85.7025467602
     377        -86.5355655262          0.8303349803        -85.7052305459
     378        -86.5538342647          0.8484723477        -85.7053619170
     379        -86.5716868432          0.8712409128        -85.7004459304
     380        -86.5828381737          0.8887330818        -85.6941050919
     381        -86.5817538133          0.8898415270        -85.6919122863
     382        -86.5679218465          0.8747170100        -85.6932048365
     383        -86.5454551158          0.8521129759        -85.6933421399
     384        -86.5203046569          0.8299866786        -85.6903179783
     385        -86.4987198271          0.8126523458        -85.6860674813
     386        -86.4851523909          0.7999307333        -85.6852216577
     387        -86.4819522373          0.7919963883        -85.6899558490
     388        -86.4893343738          0.7924245562        -85.6969098176
     389        -86.5044637367          0.8043667868        -85.7000969500
     390        -86.5213083712          0.8240180122        -85.6972903590
     391        -86.5318736565          0.8388994916        -85.6929741649
     392        -86.5300690154          0.8372094702        -85.6928595452
     393        -86.5156863819          0.8196076737        -85.6960787082
     394        -86.4938222502          0.7968442279        -85.6969780222
     395        -86.4712029613          0.7783076822        -85.6928952791
     396        -86.4533314056          0.7659822302        -85.6873491753
     397        -86.4431104526          0.7568610457        -85.6862494069
     398        -86.4413375284          0.7501893306        -85.6911481978
     399        -86.4467969595          0.7497179513        -85.6970790081
     400        -86.4554237464          0.7574214402        -85.6980023062
     401        -86.4605071972          0.7669242067        -85.6935829905
     402        -86.4548868960          0.7651800681        -85.6897068279
     403        -86.4356255931          0.7452692855        -85.6903563076
     404        -86.4068250710          0.7150991602        -85.6917259108
     405        -86.3764940389          0.6879180912        -85.6885759477
     406        -86.3524102822          0.6714855845        -85.6809246977
     407        -86.3401153318          0.6661472268        -85.6739681051
     408        -86.3421265614          0.6690958055        -85.6730307559
     409        -86.3585562373          0.6806401378        -85.6779160995
     410        -86.3869240570          0.7038393182        -85.6830847388
     411        -86.4214118369          0.7373413267        -85.6840705101
     412        -86.4534449285          0.7705883454        -85.6828565831
     413        -86.4745935526          0.7890409937        -85.6855525589
     414        -86.4817277279          0.7887269320        -85.6930007960
     415        -86.4785180666          0.7799206773        -85.6985973893
     416        -86.4715484843          0.7741018746        -85.6974466097
     417        -86.4671549324          0.7761170503        -85.6910378821
     418        -86.4696457472          0.7842481440        -85.6853976031
     419        -86.4808310491          0.7959640203        -85.6848670287
     420        -86.5003873579          0.8127138826        -85.6876734753
     421        -86.5254506895          0.8372666422        -85.6881840472
     422        -86.5501310011          0.8656936250        -85.6844373760
     423        -86.5667230020          0.8852374398        -85.6814855623
     424        -86.5695929026          0.8841012996        -85.6854916030
     425        -86.5600720852          0.8665514357        -85.6935206495
     426        -86.5449073071          0.8470570584        -85.6978502487
     427        -86.5313858688          0.8353505589        -85.6960353099
     428        -86.5252617095          0.8333735234        -85.6918881861
     429        -86.5295385738          0.8384511815        -85.6910873922
     430        -86.5445228104          0.8492570384        -85.6952657719
     431        -86.5681004310          0.8677359660        -85.7003644650
     432        -86.5952890471          0.8938848688        -85.7014041783
     433        -86.6181806884          0.9189512134        -85.6992294750
     434        -86.6280614298          0.9280371258        -85.7000243040
     435        -86.6203263243          0.9138053689        -85.7065209554
     436        -86.5979685524          0.8857985960        -85.7121699565
     437        -86.5680954991          0.8574702920        -85.7106252071
     438        -86.5380273898          0.8351176959        -85.7029096939
     439        -86.5136596498          0.8185505754        -85.6951090744
     440        -86.4983401369          0.8058967068        -85.6924434302
     441        -86.4928797974          0.7984971535        -85.6943826439
     442        -86.4955330028          0.8001899182        -85.6953430846
     443        -86.5014040182          0.8098862722        -85.6915177461
     444        -86.5028676771          0.8163940196        -85.6864736575
     445        -86.4926180103          0.8050015254        -85.6876164849
     446        -86.4694431712          0.7747831791        -85.6946599921
     447        -86.4393685906          0.7402855495        -85.6990830411
     448        -86.4106106287          0.7142339228        -85.6963767058
     449        -86.3906422176          0.7008968781        -85.6897453395
     450        -86.3847218458          0.6990628464        -85.6856589994
     451        -86.3949293109          0.7073060818        -85.6876232291
     452        -86.4201058911          0.7271639760        -85.6929419151
     453        -86.4558680851          0.7605217465        -85.6953463385
     454        -86.4945610223          0.8020132456        -85.6925477768
     455        -86.5265241098          0.8366637159        -85.6898603939
     456        -86.5440810563          0.8504444367        -85.6936366196
     457        -86.5469603209          0.8467683601        -85.7001919608
     458        -86.5408711169          0.8398085547        -85.7010625622
     459        -86.5325734807          0.8379945588        -85.6945789219
     460        -86.5281185893          0.8414461046        -85.6866724847
     461        -86.5318339752          0.8471413458        -85.6846926295
     462        -86.5456731090          0.8548166043        -85.6908565046
     463        -86.5688272524          0.8686538489        -85.7001734035
     464        -86.5973400736          0.8926557746        -85.7046842990
     465        -86.6238678950          0.9215631349        -85.7023047601
     466        -86.6392545228          0.9398150586        -85.6994394642
     467        -86.6376835685          0.9357216713        -85.7019618972
     468        -86.6215115832          0.9165686411        -85.7049429420
     469        -86.5979121338          0.8966733351        -85.7012387987
     470        -86.5742574897          0.8830614882        -85.6911960016
